date,unit_group_id,occupied_units,move_ins,move_outs,street_rate,promo,days_since_last_vacancy_spike
2024-01-01,UG-001,64,1.0,,75.66,,
2024-01-01,UG-002,85,,1.0,133.48,,
2024-01-01,UG-003,44,1.0,,171.01,,
2024-01-01,UG-004,46,,,72.09,,
2024-01-01,UG-005,78,,,116.04,,
2024-01-01,UG-006,32,1.0,,196.38,,
2024-01-01,UG-010,68,,3.0,69.86,,
2024-01-01,UG-011,97,1.0,,116.47,,
2024-01-01,UG-012,41,,2.0,174.37,,
2024-01-01,UG-013,48,2.0,1.0,60.2,,
2024-01-01,UG-014,72,3.0,1.0,110.23,,
2024-01-01,UG-015,36,1.0,,189.5,,
2024-01-01,UG-016,60,4.0,,67.46,,
2024-01-01,UG-017,92,2.0,2.0,112.99,,
2024-01-01,UG-018,37,1.0,1.0,191.99,,
2024-01-01,UG-019,46,1.0,1.0,63.94,,
2024-01-01,UG-020,70,1.0,,119.56,,
2024-01-01,UG-021,34,3.0,,167.27,,
2024-01-01,UG-022,66,2.0,,73.16,,
2024-01-01,UG-023,95,,,126.04,,
2024-01-01,UG-024,37,2.0,1.0,205.73,,
2024-01-01,UG-025,47,,1.0,75.28,,
2024-01-01,UG-026,79,,1.0,113.52,,
2024-01-01,UG-027,37,1.0,,204.1,,
2024-01-01,UG-028,62,2.0,,73.64,,
2024-01-01,UG-029,94,2.0,1.0,111.77,,
2024-01-01,UG-030,41,,,177.25,,
2024-01-01,UG-031,42,1.0,3.0,73.38,,
2024-01-01,UG-032,74,3.0,,112.38,,
2024-01-01,UG-033,28,,,204.4,,
2024-01-01,UG-034,56,1.0,1.0,68.02,,
2024-01-01,UG-035,89,1.0,1.0,126.84,,
2024-01-01,UG-036,37,,1.0,207.13,,
2024-01-01,UG-037,61,1.0,,61.59,,
2024-01-01,UG-038,88,1.0,,113.09,,
2024-01-01,UG-039,38,,2.0,180.53,,
2024-01-01,UG-040,65,1.0,1.0,72.41,,
2024-01-01,UG-041,91,,2.0,130.51,,
2024-01-01,UG-042,42,1.0,,201.66,,
2024-01-02,UG-001,65,1.0,,75.66,,
2024-01-02,UG-002,82,1.0,4.0,133.48,,
2024-01-02,UG-003,44,,,171.01,,
2024-01-02,UG-004,45,,1.0,72.09,,
2024-01-02,UG-005,76,,2.0,116.04,,
2024-01-02,UG-006,33,1.0,,196.38,,
2024-01-02,UG-010,68,1.0,1.0,69.86,,
2024-01-02,UG-011,96,2.0,3.0,116.47,,
2024-01-02,UG-012,40,,1.0,174.37,,
2024-01-02,UG-013,48,,,60.2,,
2024-01-02,UG-014,75,4.0,1.0,110.23,,
2024-01-02,UG-015,36,,,189.5,,
2024-01-02,UG-016,61,1.0,,67.46,,
2024-01-02,UG-017,91,1.0,2.0,112.99,,
2024-01-02,UG-018,38,1.0,,191.99,,
2024-01-02,UG-019,45,,1.0,63.94,,
2024-01-02,UG-020,71,2.0,1.0,119.56,,
2024-01-02,UG-021,33,,1.0,167.27,,
2024-01-02,UG-022,67,2.0,1.0,73.16,,
2024-01-02,UG-023,94,,1.0,126.04,,
2024-01-02,UG-024,37,,,205.73,,
2024-01-02,UG-025,49,3.0,1.0,75.28,,
2024-01-02,UG-026,78,1.0,2.0,113.52,,
2024-01-02,UG-027,35,,2.0,204.1,,
2024-01-02,UG-028,64,2.0,,73.64,,
2024-01-02,UG-029,95,1.0,,111.77,,
2024-01-02,UG-030,41,1.0,1.0,177.25,,
2024-01-02,UG-031,43,2.0,1.0,73.38,,
2024-01-02,UG-032,77,3.0,,112.38,,
2024-01-02,UG-033,29,1.0,,204.4,,
2024-01-02,UG-034,56,,,68.02,,
2024-01-02,UG-035,87,,2.0,126.84,,
2024-01-02,UG-036,37,,,207.13,,
2024-01-02,UG-037,59,,2.0,61.59,,
2024-01-02,UG-038,88,1.0,1.0,113.09,,
2024-01-02,UG-039,40,2.0,,180.53,,
2024-01-02,UG-040,65,1.0,1.0,72.41,,
2024-01-02,UG-041,93,4.0,2.0,130.51,,
2024-01-02,UG-042,43,1.0,,201.66,,
2024-01-03,UG-001,67,2.0,,75.66,,
2024-01-03,UG-002,83,1.0,,133.48,,
2024-01-03,UG-003,44,1.0,1.0,171.01,,
2024-01-03,UG-004,43,,2.0,72.09,,
2024-01-03,UG-005,77,2.0,1.0,116.04,,
2024-01-03,UG-006,32,,1.0,196.38,,
2024-01-03,UG-010,69,2.0,1.0,69.86,,
2024-01-03,UG-011,97,2.0,1.0,116.47,,
2024-01-03,UG-012,39,,1.0,174.37,,
2024-01-03,UG-013,50,2.0,,60.2,,
2024-01-03,UG-014,76,1.0,,110.23,,
2024-01-03,UG-015,36,,,189.5,,
2024-01-03,UG-016,61,1.0,1.0,67.46,,
2024-01-03,UG-017,90,,1.0,112.99,,
2024-01-03,UG-018,39,2.0,1.0,191.99,,
2024-01-03,UG-019,47,2.0,,63.94,,
2024-01-03,UG-020,71,1.0,1.0,119.56,,
2024-01-03,UG-021,34,1.0,,167.27,,
2024-01-03,UG-022,67,1.0,1.0,73.16,,
2024-01-03,UG-023,93,,1.0,126.04,,
2024-01-03,UG-024,36,,1.0,205.73,,
2024-01-03,UG-025,47,,2.0,75.28,,
2024-01-03,UG-026,77,,1.0,113.52,,
2024-01-03,UG-027,36,2.0,1.0,204.1,,
2024-01-03,UG-028,62,,2.0,73.64,,
2024-01-03,UG-029,96,2.0,1.0,111.77,,
2024-01-03,UG-030,42,1.0,,177.25,,
2024-01-03,UG-031,43,,,73.38,,
2024-01-03,UG-032,77,,,112.38,,
2024-01-03,UG-033,30,1.0,,204.4,,
2024-01-03,UG-034,58,2.0,,68.02,,
2024-01-03,UG-035,87,1.0,1.0,126.84,,
2024-01-03,UG-036,35,,2.0,207.13,,
2024-01-03,UG-037,59,,,61.59,,
2024-01-03,UG-038,88,,,113.09,,
2024-01-03,UG-039,41,2.0,1.0,180.53,,
2024-01-03,UG-040,66,1.0,,72.41,,
2024-01-03,UG-041,97,4.0,,130.51,,
2024-01-03,UG-042,42,,1.0,201.66,,
2024-01-04,UG-001,67,,,75.66,,
2024-01-04,UG-002,80,1.0,4.0,133.48,,
2024-01-04,UG-003,43,,1.0,171.01,,
2024-01-04,UG-004,41,,2.0,72.09,,
2024-01-04,UG-005,75,2.0,4.0,116.04,,
2024-01-04,UG-006,32,,,196.38,,
2024-01-04,UG-010,69,,,69.86,,
2024-01-04,UG-011,98,2.0,1.0,116.47,,
2024-01-04,UG-012,42,4.0,1.0,174.37,,
2024-01-04,UG-013,51,2.0,1.0,60.2,,
2024-01-04,UG-014,74,1.0,3.0,110.23,,
2024-01-04,UG-015,36,,,189.5,,
2024-01-04,UG-016,60,1.0,2.0,67.46,,
2024-01-04,UG-017,90,1.0,1.0,112.99,,
2024-01-04,UG-018,39,,,191.99,,
2024-01-04,UG-019,46,,1.0,63.94,,
2024-01-04,UG-020,71,1.0,1.0,119.56,,
2024-01-04,UG-021,34,1.0,1.0,167.27,,
2024-01-04,UG-022,67,1.0,1.0,73.16,,
2024-01-04,UG-023,91,1.0,3.0,126.04,,
2024-01-04,UG-024,37,1.0,,205.73,,
2024-01-04,UG-025,45,,2.0,75.28,,
2024-01-04,UG-026,76,1.0,2.0,113.52,,
2024-01-04,UG-027,34,,2.0,204.1,,
2024-01-04,UG-028,62,1.0,1.0,73.64,,
2024-01-04,UG-029,97,2.0,1.0,111.77,,
2024-01-04,UG-030,42,,,177.25,,
2024-01-04,UG-031,40,,3.0,73.38,,
2024-01-04,UG-032,76,,1.0,112.38,,
2024-01-04,UG-033,31,1.0,,204.4,,
2024-01-04,UG-034,58,,,68.02,,
2024-01-04,UG-035,86,1.0,2.0,126.84,,
2024-01-04,UG-036,35,,,207.13,,
2024-01-04,UG-037,58,1.0,2.0,61.59,,
2024-01-04,UG-038,87,,1.0,113.09,,
2024-01-04,UG-039,43,2.0,,180.53,,
2024-01-04,UG-040,66,,,72.41,,
2024-01-04,UG-041,95,,2.0,130.51,,
2024-01-04,UG-042,41,,1.0,201.66,,
2024-01-05,UG-001,68,1.0,,75.66,,
2024-01-05,UG-002,79,,1.0,133.48,,
2024-01-05,UG-003,42,,1.0,171.01,,
2024-01-05,UG-004,40,,1.0,72.09,first_month_half_off,
2024-01-05,UG-005,74,,1.0,116.04,,
2024-01-05,UG-006,31,,1.0,196.38,,
2024-01-05,UG-010,67,,2.0,69.86,,
2024-01-05,UG-011,98,1.0,1.0,116.47,,
2024-01-05,UG-012,45,3.0,,174.37,,
2024-01-05,UG-013,50,,1.0,60.2,,
2024-01-05,UG-014,74,2.0,2.0,110.23,,
2024-01-05,UG-015,37,1.0,,189.5,,
2024-01-05,UG-016,61,1.0,,67.46,,
2024-01-05,UG-017,90,1.0,1.0,112.99,,
2024-01-05,UG-018,40,1.0,,191.99,,
2024-01-05,UG-019,45,,1.0,63.94,,
2024-01-05,UG-020,72,1.0,,119.56,,
2024-01-05,UG-021,35,2.0,1.0,167.27,,
2024-01-05,UG-022,65,,2.0,73.16,,
2024-01-05,UG-023,92,1.0,,126.04,,
2024-01-05,UG-024,34,,3.0,205.73,,
